aircraft,family,flight,origin,depInt,altDepInt,destination,arrInt,altArrInt,previous,tt,altFlight,altAirc,newFlight,cancelFlight
A320#23,A320,286607/01/06,MRS,330,330,ORY,410,410,0,40,0,0,0,0
A320#23,A320,287307/01/06,ORY,455,455,MRS,530,530,0,40,0,0,0,0
A320#23,A320,287407/01/06,MRS,840,840,ORY,920,920,0,40,0,0,0,0
A320#23,A320,290707/01/06,ORY,1115,1115,MRS,1190,1190,0,40,0,0,0,0
A319#16,A319,468407/01/06,MRS,335,335,LYS,395,395,0,35,0,0,0,0
A319#16,A319,468507/01/06,LYS,450,450,MRS,510,510,0,35,0,0,0,0
A319#16,A319,452607/01/06,MRS,590,590,CDG,680,680,0,35,0,0,0,0
A319#16,A319,453307/01/06,CDG,1220,1220,MRS,1305,1305,0,35,0,0,0,0
A319#15,A319,454407/01/06,MPL,355,355,CDG,445,445,0,35,0,0,0,0
A319#15,A319,454707/01/06,CDG,1190,1190,MPL,1275,1275,0,35,0,0,0,0
TranspCom#4,TranspCom,7407/01/06,ORY,20,20,CDG,50,50,0,10,0,0,0,0
TranspCom#4,TranspCom,407/01/06,CDG,60,60,ORY,90,90,0,10,0,0,0,0
TranspCom#4,TranspCom,7807/01/06,ORY,100,100,CDG,130,130,0,10,0,0,0,0
TranspCom#4,TranspCom,807/01/06,CDG,140,140,ORY,170,170,0,10,0,0,0,0
TranspCom#4,TranspCom,8207/01/06,ORY,180,180,CDG,210,210,0,10,0,0,0,0
TranspCom#4,TranspCom,1207/01/06,CDG,220,220,ORY,250,250,0,10,0,0,0,0
TranspCom#4,TranspCom,8607/01/06,ORY,260,260,CDG,290,290,0,10,0,0,0,0
TranspCom#4,TranspCom,1607/01/06,CDG,300,300,ORY,330,330,0,10,0,0,0,0
TranspCom#4,TranspCom,9007/01/06,ORY,340,340,CDG,370,370,0,10,0,0,0,0
TranspCom#4,TranspCom,2007/01/06,CDG,380,380,ORY,410,410,0,10,0,0,0,0
TranspCom#4,TranspCom,9407/01/06,ORY,420,420,CDG,450,450,0,10,0,0,0,0
TranspCom#4,TranspCom,2407/01/06,CDG,460,460,ORY,490,490,0,10,0,0,0,0
TranspCom#4,TranspCom,9807/01/06,ORY,500,500,CDG,530,530,0,10,0,0,0,0
TranspCom#4,TranspCom,2807/01/06,CDG,540,540,ORY,570,570,0,10,0,0,0,0
TranspCom#4,TranspCom,10207/01/06,ORY,580,580,CDG,610,610,0,10,0,0,0,0
TranspCom#4,TranspCom,3207/01/06,CDG,620,620,ORY,650,650,0,10,0,0,0,0
TranspCom#4,TranspCom,10607/01/06,ORY,660,660,CDG,690,690,0,10,0,0,0,0
TranspCom#4,TranspCom,3607/01/06,CDG,700,700,ORY,730,730,0,10,0,0,0,0
TranspCom#4,TranspCom,11007/01/06,ORY,740,740,CDG,770,770,0,10,0,0,0,0
TranspCom#4,TranspCom,4007/01/06,CDG,780,780,ORY,810,810,0,10,0,0,0,0
TranspCom#4,TranspCom,11407/01/06,ORY,820,820,CDG,850,850,0,10,0,0,0,0
TranspCom#4,TranspCom,4407/01/06,CDG,860,860,ORY,890,890,0,10,0,0,0,0
TranspCom#4,TranspCom,11807/01/06,ORY,900,900,CDG,930,930,0,10,0,0,0,0
TranspCom#4,TranspCom,4807/01/06,CDG,940,940,ORY,970,970,0,10,0,0,0,0
TranspCom#4,TranspCom,12207/01/06,ORY,980,980,CDG,1010,1010,0,10,0,0,0,0
TranspCom#4,TranspCom,5207/01/06,CDG,1020,1020,ORY,1050,1050,0,10,0,0,0,0
TranspCom#4,TranspCom,12607/01/06,ORY,1060,1060,CDG,1090,1090,0,10,0,0,0,0
TranspCom#4,TranspCom,5607/01/06,CDG,1100,1100,ORY,1130,1130,0,10,0,0,0,0
TranspCom#4,TranspCom,13007/01/06,ORY,1140,1140,CDG,1170,1170,0,10,0,0,0,0
TranspCom#4,TranspCom,6007/01/06,CDG,1180,1180,ORY,1210,1210,0,10,0,0,0,0
TranspCom#4,TranspCom,13407/01/06,ORY,1220,1220,CDG,1250,1250,0,10,0,0,0,0
TranspCom#4,TranspCom,6407/01/06,CDG,1260,1260,ORY,1290,1290,0,10,0,0,0,0
TranspCom#4,TranspCom,13807/01/06,ORY,1300,1300,CDG,1330,1330,0,10,0,0,0,0
TranspCom#4,TranspCom,6807/01/06,CDG,1340,1340,ORY,1370,1370,0,10,0,0,0,0
TranspCom#4,TranspCom,14207/01/06,ORY,1380,1380,CDG,1410,1410,0,10,0,0,0,0
TranspCom#4,TranspCom,7207/01/06,CDG,1420,1420,ORY,1450,1450,0,10,0,0,0,0
TranspCom#3,TranspCom,7307/01/06,ORY,0,0,CDG,30,30,0,10,0,0,0,0
TranspCom#3,TranspCom,307/01/06,CDG,40,40,ORY,70,70,0,10,0,0,0,0
TranspCom#3,TranspCom,7707/01/06,ORY,80,80,CDG,110,110,0,10,0,0,0,0
TranspCom#3,TranspCom,707/01/06,CDG,120,120,ORY,150,150,0,10,0,0,0,0
TranspCom#3,TranspCom,8107/01/06,ORY,160,160,CDG,190,190,0,10,0,0,0,0
TranspCom#3,TranspCom,1107/01/06,CDG,200,200,ORY,230,230,0,10,0,0,0,0
TranspCom#3,TranspCom,8507/01/06,ORY,240,240,CDG,270,270,0,10,0,0,0,0
TranspCom#3,TranspCom,1507/01/06,CDG,280,280,ORY,310,310,0,10,0,0,0,0
TranspCom#3,TranspCom,8907/01/06,ORY,320,320,CDG,350,350,0,10,0,0,0,0
