aircraft,delta1,noFlights,noCombos,singletonList,noSolutions,solution
CRJ700#67,0.34947752952575684,5,12168,[],0,[0 0 0 0 0]
A340#16,0.03407883644104004,4,192,[],0,[  0 900 540  -1]
A330#15,0.0007970333099365234,1,1,[],0,[-1]
A320#50,4.0156450271606445,7,27216,[],0,[-1 -1  0  0  0  0  0]
A320#129,1.9001471996307373,7,29400,[],0,[60  0  0  0  0  0  0]
A320#105,0.4560434818267822,6,6480,[],0,[0 0 0 0 0 0]
A319#163,4.3021323680877686,8,30240,[],0,[ 0 -1 -1  0  0  0  0  0]
A319#101,0.5071558952331543,6,6804,[],0,[0 0 0 0 0 0]
A318#34,0.09957289695739746,6,480,[],0,[ 60 780  -1  -1   0   0]
A318#125,0.20835614204406738,6,1440,[],0,[-1 -1  0  0  0  0]
A318#33,5.007819175720215,7,20736,[],0,[180   0  -1  -1   0   0   0]
A320#120,2.1096444129943848,8,6912,[],0,[  0 720  -1  -1  -1  -1  -1  -1]
A320#153,2.3366711139678955,8,31104,[],0,[0 0 0 0 0 0 0 0]
A320#48,2.846149206161499,8,17280,[],0,[780 840  -1  -1   0   0   0   0]
A320#53,0.3777427673339844,8,1920,[],0,[-1 -1 -1 -1  0  0  0  0]
A320#56,0.27701449394226074,8,2400,[],0,[ 0 -1 -1  0  0  0  0  0]
A320#59,0.10683941841125488,7,1536,[],0,[0 0 0 0 0 0 0]
A320#6,0.7042450904846191,7,2520,[],0,[900 360  -1  -1  -1  -1   0]
A321#106,2.655869960784912,7,11760,[],0,[120 720 240 240 180  -1  -1]
CRJ100#225,0.6390235424041748,7,5632,[],0,[-1 -1  0  0  0  0  0]
ERJ135#159,0.36073994636535645,6,5600,[],0,[0 0 0 0 0 0]
ERJ135#18,1.7388925552368164,7,14112,[],0,[-1 -1  0  0  0  0  0]
ERJ135#93,2.503575325012207,7,14400,[],0,[720  -1  -1   0   0   0   0]
A319#126,1.7849507331848145,8,6750,[],0,[840 900  -1  -1  60 120  -1  -1]
A319#127,1.1551713943481445,8,13440,[],0,[-1 -1  0  0  0  0  0  0]
A319#38,1.5024073123931885,8,10800,[],0,[ 0 -1 -1  0  0  0  0  0]
A320#138,1.7222163677215576,8,17280,[],0,[-1 -1  0 60  0  0  0  0]
A320#49,3.569674253463745,8,33600,[],0,[-1 -1  0  0  0  0  0  0]
ERJ135#178,0.838118314743042,8,23040,[],0,[0 0 0 0 0 0 0 0]
ERJ135#29,5.5559165477752686,7,57024,[],0,[720 780 300 300  60   0   0]
F100#87,3.887817144393921,8,32256,[],0,[ 0 60  0 -1 -1  0  0  0]
A320#152,1.3653254508972168,7,45360,[],0,[60  0  0  0  0  0  0]
A320#168,1.710961103439331,6,52272,[],0,[  0 600  60   0   0   0]
A321#197,7.613991022109985,8,55296,[],0,[ 0 -1 -1  0  0  0  0  0]
CRJ100#226,7.076788663864136,8,26880,[],0,[ -1  -1  -1 540 540  -1   0   0]
A320#139,3.617586374282837,8,105840,[],0,[0 0 0 0 0 0 0 0]
A321#114,29.535977602005005,8,161280,[],0,[  0 600 120 180  -1  -1   0   0]
A318#17,29.698938608169556,9,276480,[],0,[-1 -1  0  0  0  0  0  0  0]
A320#128,38.406962394714355,9,259200,[],0,[1140 1200   60    0  240  240  240   -1   -1]
A320#235,0.8120083808898926,8,5040,[],0,[-1 -1  0  0  0  0 -1 -1]
A321#147,3.6985175609588623,8,14400,[],0,[-1 -1  0  0 -1 -1  0  0]
A321#200,3.9892842769622803,9,12960,[],0,[780  -1  -1  -1  -1   0  60  -1  -1]
CRJ100#214,14.36179780960083,10,81000,[],0,[-1 -1  0  0  0  0  0  0 -1 -1]
