1 A 137.5 61 cancelled 
2 A 187.5 13 cancelled 
3 R 137.5 22 cancelled 
4 R 187.5 5 cancelled 
5 A 412.5 12 cancelled 
6 A 137.5 89 cancelled 
7 R 137.5 21 cancelled 
8 A 137.5 51 cancelled 
9 A 237.5 13 cancelled 
10 R 137.5 33 cancelled 
11 R 237.5 6 cancelled 
12 A 175.0 82 cancelled 
13 R 175.0 29 cancelled 
14 A 187.5 56 cancelled 
15 A 225.0 13 cancelled 
16 R 187.5 27 cancelled 
17 R 225.0 6 cancelled 
18 A 137.5 73 cancelled 
19 R 137.5 10 cancelled 
20 A 175.0 69 cancelled 
21 A 250.0 8 cancelled 
22 R 175.0 13 cancelled 
23 R 250.0 3 cancelled 
24 A 150.0 80 cancelled 
25 R 150.0 14 cancelled 
26 A 250.0 62 cancelled 
27 A 350.0 13 cancelled 
28 R 250.0 21 cancelled 
29 R 350.0 5 cancelled 
30 A 250.0 80 cancelled 
31 R 250.0 31 cancelled 
32 A 200.0 62 cancelled 
33 A 626.5 6 cancelled 
34 A 325.0 7 cancelled 
35 R 200.0 21 cancelled 
36 R 626.5 2 cancelled 
37 R 325.0 3 cancelled 
38 A 212.5 69 cancelled 
39 A 275.0 13 cancelled 
40 R 212.5 15 cancelled 
41 R 275.0 4 cancelled 
42 A 200.0 66 2630 07/01/06 E 
43 A 300.0 13 cancelled 
44 R 200.0 18 2630 07/01/06 E 
45 R 300.0 4 cancelled 
46 A 212.5 44 2629 07/01/06 E 
47 A 275.0 28 cancelled 
48 R 212.5 17 2629 07/01/06 E 
49 R 275.0 11 cancelled 
50 A 212.5 57 3064 07/01/06 E 
51 A 250.0 13 cancelled 
52 R 212.5 26 3064 07/01/06 E 
53 R 262.5 6 cancelled 
54 A 312.5 3 cancelled 
55 A 312.5 3 cancelled 
56 A 500.0 12 cancelled 
57 A 200.0 65 cancelled 
58 A 685.0 6 cancelled 
59 A 350.0 7 cancelled 
60 R 200.0 18 cancelled 
61 R 685.0 2 cancelled 
62 R 350.0 3 cancelled 
63 A 312.5 1 cancelled 
64 A 312.5 1 cancelled 
65 A 212.5 66 3074 07/01/06 E 
66 A 275.0 13 cancelled 
67 R 212.5 18 3074 07/01/06 E 
68 R 275.0 4 cancelled 
69 A 312.5 2 cancelled 
70 A 312.5 2 cancelled 
71 A 200.0 52 3077 07/01/06 E 
72 A 350.0 11 cancelled 
73 R 200.0 18 3077 07/01/06 E 
74 R 350.0 4 cancelled 
75 A 212.5 66 cancelled 
76 A 250.0 7 cancelled 
77 R 212.5 20 cancelled 
78 R 275.0 5 cancelled 
79 A 200.0 66 cancelled 
80 A 250.0 13 cancelled 
81 R 200.0 17 cancelled 
82 R 250.0 5 cancelled 
83 A 212.5 58 cancelled 
84 A 300.0 13 cancelled 
85 R 212.5 24 cancelled 
86 R 300.0 6 cancelled 
87 A 200.0 79 cancelled 
88 R 200.0 16 cancelled 
89 A 200.0 64 cancelled 
90 A 685.0 6 cancelled 
91 A 350.0 7 cancelled 
92 R 200.0 19 cancelled 
93 R 685.0 2 cancelled 
94 R 350.0 3 cancelled 
95 A 312.5 3 cancelled 
96 A 312.5 3 cancelled 
97 A 637.5 12 cancelled 
98 A 212.5 62 cancelled 
99 A 275.0 17 cancelled 
100 R 212.5 16 cancelled 
101 R 275.0 5 cancelled 
102 A 312.5 2 cancelled 
103 A 312.5 2 cancelled 
104 A 200.0 65 cancelled 
105 A 350.0 13 cancelled 
106 R 200.0 18 cancelled 
107 R 350.0 5 cancelled 
108 A 312.5 1 cancelled 
109 A 312.5 1 cancelled 
110 A 212.5 53 cancelled 
111 A 275.0 20 cancelled 
112 R 212.5 19 cancelled 
113 R 275.0 8 cancelled 
114 A 200.0 62 cancelled 
115 A 250.0 13 cancelled 
116 R 200.0 21 cancelled 
117 R 250.0 5 cancelled 
118 A 212.5 64 cancelled 
119 A 300.0 13 cancelled 
120 R 212.5 17 cancelled 
121 R 300.0 4 cancelled 
122 A 200.0 87 cancelled 
123 R 200.0 20 cancelled 
124 A 175.0 52 cancelled 
125 A 275.0 13 cancelled 
126 R 175.0 31 cancelled 
127 R 225.0 3 cancelled 
128 A 237.5 9 cancelled 
129 A 237.5 9 cancelled 
130 A 500.0 6 cancelled 
131 A 162.5 57 cancelled 
132 A 237.5 12 cancelled 
133 R 162.5 18 cancelled 
134 R 237.5 4 cancelled 
135 A 237.5 3 cancelled 
136 A 237.5 3 cancelled 
137 A 175.0 63 cancelled 
138 A 275.0 13 cancelled 
139 R 175.0 20 cancelled 
140 R 275.0 5 cancelled 
141 A 237.5 4 cancelled 
142 A 237.5 4 cancelled 
143 A 162.5 43 cancelled 
144 A 237.5 9 cancelled 
145 R 162.5 14 cancelled 
146 R 237.5 3 cancelled 
147 A 175.0 74 cancelled 
148 A 275.0 13 cancelled 
149 R 175.0 11 cancelled 
150 R 275.0 3 cancelled 
151 A 162.5 48 cancelled 
152 R 162.5 16 cancelled 
153 A 175.0 87 cancelled 
154 R 175.0 21 cancelled 
155 A 225.0 63 cancelled 
156 A 300.0 13 cancelled 
157 R 225.0 20 cancelled 
158 R 300.0 5 cancelled 
159 A 772.0 12 cancelled 
160 A 175.0 44 cancelled 
161 A 225.0 10 cancelled 
162 R 175.0 19 cancelled 
163 R 225.0 4 cancelled 
164 A 484.5 1 cancelled 
165 A 250.0 2 cancelled 
166 A 250.0 3 cancelled 
167 A 175.0 51 cancelled 
168 A 225.0 13 cancelled 
169 R 175.0 32 cancelled 
170 R 225.0 6 cancelled 
171 A 150.0 54 cancelled 
172 A 287.5 11 cancelled 
173 R 150.0 16 cancelled 
174 R 287.5 4 cancelled 
175 A 162.5 54 cancelled 
176 A 275.0 13 cancelled 
177 R 162.5 29 cancelled 
178 R 275.0 6 cancelled 
179 A 212.5 53 cancelled 
180 R 212.5 31 cancelled 
181 A 200.0 66 cancelled 
182 A 685.0 6 cancelled 
183 A 350.0 7 cancelled 
184 R 200.0 17 cancelled 
185 R 685.0 2 cancelled 
186 R 350.0 3 cancelled 
187 A 312.5 3 cancelled 
188 A 312.5 3 cancelled 
189 A 637.5 12 cancelled 
190 A 212.5 65 cancelled 
191 A 275.0 13 cancelled 
192 R 212.5 18 cancelled 
193 R 300.0 5 cancelled 
194 A 312.5 3 cancelled 
195 A 312.5 3 cancelled 
196 A 200.0 48 cancelled 
197 A 350.0 12 cancelled 
198 R 200.0 36 cancelled 
199 R 350.0 7 cancelled 
200 A 312.5 8 cancelled 
201 A 312.5 8 cancelled 
202 A 212.5 67 cancelled 
203 A 275.0 7 cancelled 
204 R 212.5 19 cancelled 
205 R 300.0 5 cancelled 
206 A 312.5 2 cancelled 
207 A 312.5 2 cancelled 
208 A 200.0 49 cancelled 
209 A 237.5 12 cancelled 
210 R 200.0 33 cancelled 
211 R 237.5 6 cancelled 
212 A 212.5 52 cancelled 
213 A 300.0 13 cancelled 
214 R 212.5 29 cancelled 
215 R 300.0 6 cancelled 
216 A 468.0 15 cancelled 
217 A 543.0 3 cancelled 
218 A 200.0 27 cancelled 
219 A 275.0 5 cancelled 
220 R 468.0 4 cancelled 
221 R 543.0 1 cancelled 
222 R 200.0 8 cancelled 
223 R 275.0 1 cancelled 
224 A 555.5 1 cancelled 
225 A 555.5 1 cancelled 
226 A 287.5 1 cancelled 
227 A 287.5 1 cancelled 
228 A 1094.2 2 cancelled 
229 A 826.2 5 cancelled 
230 A 438.8 12 cancelled 
231 A 613.8 5 cancelled 
232 A 187.5 22 cancelled 
233 A 362.5 9 cancelled 
234 R 438.8 4 cancelled 
235 R 613.8 2 cancelled 
236 R 187.5 7 cancelled 
237 R 362.5 3 cancelled 
238 A 468.0 12 cancelled 
239 A 518.0 3 cancelled 
240 A 200.0 22 cancelled 
241 A 250.0 5 cancelled 
242 R 468.0 7 cancelled 
243 R 518.0 1 cancelled 
244 R 200.0 13 cancelled 
245 R 250.0 2 cancelled 
246 A 438.8 14 cancelled 
247 A 187.5 25 cancelled 
248 R 438.8 6 cancelled 
249 R 187.5 10 cancelled 
250 A 468.0 14 cancelled 
251 A 580.5 3 cancelled 
252 A 200.0 26 cancelled 
